source,target,weight
1st Line Support/Helpdesk,2nd Line Support,0.37281710515818933
1st Line Support/Helpdesk,3rd Line Support,0.26080014856343253
1st Line Support/Helpdesk,Account Executive,0.16548831429525193
1st Line Support/Helpdesk,Account Handler,0.21004905993691397
1st Line Support/Helpdesk,Account Manager,0.18186542875947906
1st Line Support/Helpdesk,Accountancy Practice,0.1930853358399232
1st Line Support/Helpdesk,Accounts Admin,0.14284072110402715
1st Line Support/Helpdesk,Accounts Assistant,0.12483596621322154
1st Line Support/Helpdesk,Accounts Manager,0.14155540542300757
1st Line Support/Helpdesk,Administrator,0.19503721437582458
1st Line Support/Helpdesk,Adult Education,0.1869724626059493
1st Line Support/Helpdesk,Aftersales,0.1896763821051393
1st Line Support/Helpdesk,Analyst,0.1951976878555516
1st Line Support/Helpdesk,Analyst Prog/Dev,0.19863293618424938
1st Line Support/Helpdesk,Architecture,0.18819459352074933
1st Line Support/Helpdesk,Assistant Accountant,0.1433658833839342
1st Line Support/Helpdesk,Assistant Manager,0.09852453084095039
1st Line Support/Helpdesk,Automation,0.22119032378843442
1st Line Support/Helpdesk,Automotive,0.2266701059335961
1st Line Support/Helpdesk,Body Repair & Fit,0.1640834292605312
1st Line Support/Helpdesk,Bookkeeper,0.13459217320669217
1st Line Support/Helpdesk,Building Services Maintenance,0.22108798531067678
1st Line Support/Helpdesk,Building Surveying,0.20483534019641048
1st Line Support/Helpdesk,Business Analyst,0.20966848939299337
1st Line Support/Helpdesk,Business Development,0.16273400013379885
1st Line Support/Helpdesk,Buyer,0.15255571256846204
1st Line Support/Helpdesk,Call Centre - Inbound,0.2007188670230203
1st Line Support/Helpdesk,Care Assistant,0.13470638317503889
1st Line Support/Helpdesk,Care Manager,0.17387407583225306
1st Line Support/Helpdesk,Carer,0.1771792233838775
1st Line Support/Helpdesk,Chef de Partie,0.17535388570634064
1st Line Support/Helpdesk,Civil,0.20621739961126995
1st Line Support/Helpdesk,Claims,0.14960951386896257
1st Line Support/Helpdesk,Cleaner,0.17194945451503016
1st Line Support/Helpdesk,Compliance,0.16956113897336117
1st Line Support/Helpdesk,Consultant,0.26976970386410465
1st Line Support/Helpdesk,Conveyancing,0.20092930604594622
1st Line Support/Helpdesk,Credit Controller,0.12396452603623041
1st Line Support/Helpdesk,Customer Service Advisor,0.219564636487913
1st Line Support/Helpdesk,Customer Service Assistant,0.16583784402158117
1st Line Support/Helpdesk,Customer Services Manager,0.16118421927622345
1st Line Support/Helpdesk,Data Entry,0.17124814377671596
1st Line Support/Helpdesk,Database Developer,0.15774556844007626
1st Line Support/Helpdesk,Design,0.21665848953173206
1st Line Support/Helpdesk,Digital Marketing,0.15127953131173072
1st Line Support/Helpdesk,Direct Sales,0.16623931564826572
1st Line Support/Helpdesk,Driving,0.2047543451345732
1st Line Support/Helpdesk,Education Administration,0.1906903152598765
1st Line Support/Helpdesk,Electrical,0.23262909683626914
1st Line Support/Helpdesk,Electronic,0.25493943662177176
1st Line Support/Helpdesk,Estate Agent,0.113516199960614
1st Line Support/Helpdesk,Events Management,0.11388890120036645
