skill,skill_percent,region,location_quotident,location_difference,location_change,absolute_location_change,num_ads,num_ads_per_skill
accessing and analysing digital data,0.058249466300701436,Bedfordshire and Hertfordshire,1.1663889928053952,0.008309466300701437,0.1663889928053952,0.1663889928053952,3279,191.0
adapt to change,0.09515096065873742,Bedfordshire and Hertfordshire,1.1443290518188505,0.012000960658737417,0.14432905181885047,0.14432905181885047,3279,312.0
advising and consulting,0.1439463250991156,Bedfordshire and Hertfordshire,1.0127793224450543,0.0018163250991155844,0.012779322445054309,0.012779322445054309,3279,472.0
advising on environmental issues,0.037816407441293075,Bedfordshire and Hertfordshire,1.9503046643266153,0.018426407441293074,0.9503046643266153,0.9503046643266153,3279,123.99999999999999
advising on products and services,0.032326928941750536,Bedfordshire and Hertfordshire,1.0275565461459166,0.0008669289417505346,0.027556546145916627,0.027556546145916627,3279,106.00000000000001
advocating for individual or community needs,0.07380298871607198,Bedfordshire and Hertfordshire,1.251959096116573,0.014852988716071977,0.25195909611657297,0.25195909611657297,3279,242.00000000000003
allocating and controlling physical resources,0.03324184202500762,Bedfordshire and Hertfordshire,1.3507453078020164,0.008631842025007622,0.3507453078020164,0.3507453078020164,3279,108.99999999999999
analysing and evaluating information and data,0.0936261055199756,Bedfordshire and Hertfordshire,0.911469095794155,-0.0090938944800244,-0.08853090420584497,0.08853090420584497,3279,307.0
analysing business operations,0.06739859713327234,Bedfordshire and Hertfordshire,1.0672778643431884,0.004248597133272344,0.06727786434318839,0.06727786434318839,3279,221.0
attend to detail,0.1473010064043916,Bedfordshire and Hertfordshire,1.1448857951530513,0.01864100640439159,0.14488579515305133,0.14488579515305133,3279,483.0
building and developing teams,0.037816407441293075,Bedfordshire and Hertfordshire,0.9681619928646461,-0.0012435925587069227,-0.031838007135353896,0.031838007135353896,3279,123.99999999999999
coaching and mentoring,0.22750838670326318,Bedfordshire and Hertfordshire,1.0405140027590358,0.008858386703263166,0.04051400275903583,0.04051400275903583,3279,746.0
"communication, collaboration and creativity",0.055809698078682524,Bedfordshire and Hertfordshire,0.9883070316749163,-0.0006603019213174757,-0.011692968325083708,0.011692968325083708,3279,183.0
complying with health and safety procedures,0.09027142421469961,Bedfordshire and Hertfordshire,1.080060112642972,0.006691424214699607,0.08006011264297208,0.08006011264297208,3279,296.0
complying with legal and organisational guidelines,0.10064043915827996,Bedfordshire and Hertfordshire,0.9368873501981005,-0.006779560841720045,-0.06311264980189946,0.06311264980189946,3279,330.0
conducting investigations,0.03446172613601708,Bedfordshire and Hertfordshire,0.8509068181732612,-0.006038273863982924,-0.1490931818267388,0.1490931818267388,3279,113.0
coordinating activities with others,0.28636779505946935,Bedfordshire and Hertfordshire,1.079818231747622,0.021167795059469363,0.07981823174762193,0.07981823174762193,3279,939.0
cope with pressure,0.06495882891125343,Bedfordshire and Hertfordshire,1.170429349752314,0.00945882891125343,0.17042934975231394,0.17042934975231394,3279,213.0
database and network design and administration,0.06312900274473925,Bedfordshire and Hertfordshire,0.8652549718303076,-0.009830997255260751,-0.13474502816969236,0.13474502816969236,3279,207.0
demonstrate enthusiasm,0.18908203720646538,Bedfordshire and Hertfordshire,1.0888686277366275,0.015432037206465382,0.08886862773662751,0.08886862773662751,3279,620.0
demonstrate willingness to learn,0.04269594388533089,Bedfordshire and Hertfordshire,1.1665558438614998,0.006095943885330891,0.1665558438614998,0.1665558438614998,3279,140.0
developing educational programmes,0.03720646538578835,Bedfordshire and Hertfordshire,0.9170930585602254,-0.003363534614211655,-0.08290694143977462,0.08290694143977462,3279,121.99999999999999
"developing financial, business or marketing plans",0.0686184812442818,Bedfordshire and Hertfordshire,0.9486863161106289,-0.0037115187557182072,-0.051313683889371076,0.051313683889371076,3279,225.00000000000003
developing objectives and strategies,0.04574565416285453,Bedfordshire and Hertfordshire,0.9852606970246507,-0.0006843458371454669,-0.014739302975349311,0.014739302975349311,3279,150.0
developing operational policies and procedures,0.10643488868557487,Bedfordshire and Hertfordshire,1.0154063030487968,0.0016148886855748695,0.015406303048796754,0.015406303048796754,3279,349.0
developing professional relationships or networks,0.222323879231473,Bedfordshire and Hertfordshire,1.03147387599273,0.006783879231473,0.031473875992729994,0.031473875992729994,3279,729.0
developing solutions,0.09088136627020434,Bedfordshire and Hertfordshire,0.9770088827155916,-0.0021386337297956692,-0.02299111728440839,0.02299111728440839,3279,298.0
directing operational activities,0.17993290637389447,Bedfordshire and Hertfordshire,1.1519392213437547,0.02373290637389447,0.1519392213437547,0.1519392213437547,3279,590.0
electronics and automation,0.030802073802988716,Bedfordshire and Hertfordshire,1.0315496919956033,0.0009420738029887153,0.03154969199560331,0.03154969199560331,3279,101.0
entering and transforming information,0.033546813052759986,Bedfordshire and Hertfordshire,1.1418248145936005,0.004166813052759986,0.14182481459360052,0.14182481459360052,3279,109.99999999999999
executing financial transactions,0.08386703263189997,Bedfordshire and Hertfordshire,1.1404274222450363,0.010327032631899977,0.14042742224503635,0.14042742224503635,3279,275.0
"finance, banking and insurance",0.05641964013418725,Bedfordshire and Hertfordshire,1.0098378402396142,0.0005496401341872487,0.009837840239614204,0.009837840239614204,3279,185.0
history and archaeology,0.03751143641354071,Bedfordshire and Hertfordshire,1.9002754008885872,0.01777143641354071,0.9002754008885872,0.9002754008885872,3279,122.99999999999999
identifying opportunities,0.05032021957913998,Bedfordshire and Hertfordshire,0.9606762042600224,-0.0020597804208600246,-0.039323795739977574,0.039323795739977574,3279,165.0
leading and motivating,0.2698993595608417,Bedfordshire and Hertfordshire,1.0445425889579385,0.011509359560841703,0.0445425889579385,0.0445425889579385,3279,885.0
literature and linguistics,0.0326318999695029,Bedfordshire and Hertfordshire,1.1221423648384765,0.003551899969502899,0.12214236483847651,0.12214236483847651,3279,107.00000000000001
"loading and unloading goods and, materials",0.036596523330283626,Bedfordshire and Hertfordshire,1.3888623654756596,0.010246523330283627,0.38886236547565955,0.38886236547565955,3279,120.00000000000001
maintaining and enforcing physical security,0.06800853918877707,Bedfordshire and Hertfordshire,1.2690527932221882,0.014418539188777071,0.2690527932221882,0.2690527932221882,3279,223.0
maintaining operational records,0.12778286062824032,Bedfordshire and Hertfordshire,1.1232670589683573,0.014022860628240319,0.12326705896835732,0.12326705896835732,3279,419.0
manage quality,0.07837755413235743,Bedfordshire and Hertfordshire,1.0016300847585615,0.00012755413235743251,0.001630084758561523,0.001630084758561523,3279,257.0
management and administration,0.17535834095760902,Bedfordshire and Hertfordshire,0.9613944131447862,-0.007041659042390985,-0.03860558685521376,0.03860558685521376,3279,575.0
management skills,0.07319304666056725,Bedfordshire and Hertfordshire,0.9587771372880174,-0.0031469533394327537,-0.04122286271198261,0.04122286271198261,3279,240.00000000000003
managing and analysing digital data,0.1598048185422385,Bedfordshire and Hertfordshire,1.1600233634018473,0.022044818542238498,0.1600233634018473,0.1600233634018473,3279,524.0
managing budgets or finances,0.1003354681305276,Bedfordshire and Hertfordshire,1.101740069512766,0.009265468130527602,0.10174006951276593,0.10174006951276593,3279,329.0
managing information,0.042086001829826164,Bedfordshire and Hertfordshire,1.01558884724484,0.0006460018298261663,0.015588847244839998,0.015588847244839998,3279,138.0
